IND,TOK,DATE,SHOT,TIME,TAUTH,IP,BT,NEL,PLTH,RGEO,DELTA1,KAPPAA,EPS,MEFF
439,ASDEX,19830802,9863,1.209,0.0439817368125225,0.3746,2.192,3.848,1.35925666666667,1.693,1,1.02380643076719,0.208741878322504,1.5
440,ASDEX,19830802,9863,1.247,0.0442139539924893,0.3737,2.192,3.936,1.47745333333333,1.693,1,1.02223151373446,0.209214412285883,1.5
441,ASDEX,19830802,9863,1.284,0.0413340721603286,0.3737,2.191,4.007,1.6067,1.692,1,1.02119232729897,0.209574468085106,1.5
446,ASDEX,19830802,9864,1.202,0.0441202482209681,0.3741,2.19,3.642,1.17063666666667,1.691,1,1.03299899813914,0.207096392667061,1.5
447,ASDEX,19830802,9864,1.226,0.0453476026846219,0.3735,2.191,3.546,1.17266666666667,1.69,1,1.0307376924602,0.207810650887574,1.5
448,ASDEX,19830802,9864,1.25,0.0416661851284087,0.373,2.191,3.759,1.3605,1.691,1,1.02916622979552,0.207924305144885,1.5
453,ASDEX,19830804,9883,1.171,0.0360653180185633,0.3776,2.19,4.015,1.65703,1.674,1,1.01724068337741,0.212186379928315,1.5
454,ASDEX,19830804,9883,1.212,0.0392529655206599,0.3746,2.189,4.164,1.97048,1.672,1,1.00567941548777,0.214952153110048,1.5
455,ASDEX,19830804,9883,1.253,0.0334747193106858,0.3738,2.191,4.337,2.56864,1.67,1,0.998859111648988,0.216946107784431,1.5
460,ASDEX,19830804,9887,1.193,0.0393438347476631,0.3751,2.189,4.468,1.54086333333333,1.649,1,1.02202235184876,0.214311704063069,1.5
461,ASDEX,19830804,9887,1.225,0.0385161836494812,0.3741,2.189,4.495,1.73143333333333,1.647,1,1.01788204055495,0.215543412264724,1.5
462,ASDEX,19830804,9887,1.258,0.0355353353273809,0.3734,2.189,4.59,1.9824,1.646,1,1.0160074139402,0.216221142162819,1.5
468,ASDEX,19830804,9888,1.239,0.0374095946681984,0.3737,2.191,4.087,1.915,1.649,1,1.01363865668603,0.216373559733172,1.5
