model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
mean_baseline,__pooled__,12,2.005899705014749,3549,1.296607179243921,-1.5304605555686952,0.1878633854119821,True
ridge_loglinear,__pooled__,12,2.005899705014749,3549,0.25519532201517764,0.901976964731825,0.05898461022633705,True
random_forest,__pooled__,12,2.005899705014749,3549,1.2208469365449033,-1.2433919835123963,0.17809864209428994,True
hist_gradient_boosting,__pooled__,12,2.005899705014749,3549,1.1972622844642502,-1.1575522985238695,0.1761214860043005,True
gp_rbf,__pooled__,12,2.005899705014749,3549,0.5941280991523701,0.46869621045218257,0.13498230835200037,True
gp_linear,__pooled__,12,2.005899705014749,3549,0.2558654384001662,0.9014614922307677,0.05925576874536183,True
gp_linear_rbf,__pooled__,12,2.005899705014749,3549,0.22881088405808975,0.9211982093460288,0.048711734450609195,True
ipb98y2_analytic,__pooled__,13,1.998824221046443,3118,0.20245781788747105,0.8515624651042903,0.0422282166777013,False
mean_baseline,__pooled__,13,1.998824221046443,3118,1.4461810235245474,-6.573906633612587,0.21550981241155112,True
ridge_loglinear,__pooled__,13,1.998824221046443,3118,0.2449270221943438,0.7827558778171437,0.057328367347390226,True
random_forest,__pooled__,13,1.998824221046443,3118,1.3528600616699271,-5.627967680695977,0.20690857770031806,True
hist_gradient_boosting,__pooled__,13,1.998824221046443,3118,1.322879351238232,-5.337458162828072,0.20406257822807813,True
gp_rbf,__pooled__,13,1.998824221046443,3118,0.7911816699792752,-1.2668723441005318,0.1308004326129261,True
gp_linear,__pooled__,13,1.998824221046443,3118,0.24569370232546833,0.7813936971005206,0.057628912583923296,True
gp_linear_rbf,__pooled__,13,1.998824221046443,3118,0.22329271586978672,0.8194390870065247,0.04839532036094725,True
ipb98y2_analytic,__pooled__,14,1.8230563002680964,2730,0.19440636965136043,0.8126329439726376,0.044716612273198446,False
mean_baseline,__pooled__,14,1.8230563002680964,2730,1.459310027451591,-9.557653046327964,0.23302298443202116,True
ridge_loglinear,__pooled__,14,1.8230563002680964,2730,0.27782310857361403,0.6173435967119197,0.07409390770407948,True
random_forest,__pooled__,14,1.8230563002680964,2730,0.9377674151597658,-3.359759459795333,0.18505310223575516,True
hist_gradient_boosting,__pooled__,14,1.8230563002680964,2730,1.0717519585509527,-4.694568534505263,0.1995699638643632,True
gp_rbf,__pooled__,14,1.8230563002680964,2730,1.9475350539967728,-17.8036785864583,0.25846483425183303,True
gp_linear,__pooled__,14,1.8230563002680964,2730,0.2784810541267517,0.6155290234043154,0.07438813654381302,True
gp_linear_rbf,__pooled__,14,1.8230563002680964,2730,0.19132354395717244,0.8185282254037245,0.044031995435062976,True
ipb98y2_analytic,__pooled__,15,1.3843648208469055,2728,0.19441717348752857,0.8125049355804705,0.04473145578401007,False
mean_baseline,__pooled__,15,1.3843648208469055,2728,1.4592590342426606,-9.56295358723613,0.2331034954158401,True
ridge_loglinear,__pooled__,15,1.3843648208469055,2728,0.2787342722170492,0.6146092090021642,0.0744718729117509,True
random_forest,__pooled__,15,1.3843648208469055,2728,0.9348017673012582,-3.3347059278762217,0.18462486988136698,True
hist_gradient_boosting,__pooled__,15,1.3843648208469055,2728,0.9977453796895946,-3.9381018236997365,0.19201347290795126,True
gp_rbf,__pooled__,15,1.3843648208469055,2728,2.0246479694566357,-19.33385089707855,0.26151977198847554,True
gp_linear,__pooled__,15,1.3843648208469055,2728,0.2793999277990657,0.6127662791564281,0.07476989101610101,True
gp_linear_rbf,__pooled__,15,1.3843648208469055,2728,0.212514708985021,0.7759739201022638,0.05008463273116793,True
ipb98y2_analytic,__pooled__,16,1.1441015895668163,1862,0.15731252575504368,0.8627527884795952,0.04073338959793046,False
mean_baseline,__pooled__,16,1.1441015895668163,1862,1.405404284234528,-9.95416977894983,0.26422657689614215,True
ridge_loglinear,__pooled__,16,1.1441015895668163,1862,0.1892487418683173,0.8013708777095583,0.05361759217420759,True
random_forest,__pooled__,16,1.1441015895668163,1862,0.4817173722359798,-0.286949598719211,0.1256002571805493,True
hist_gradient_boosting,__pooled__,16,1.1441015895668163,1862,0.4851960071948543,-0.3056036578215289,0.1290866774392868,True
gp_rbf,__pooled__,16,1.1441015895668163,1862,0.3562518986988004,0.2961318774676296,0.09545096756442098,True
gp_linear,__pooled__,16,1.1441015895668163,1862,0.18898249574989398,0.8019293705374552,0.053546654300367535,True
gp_linear_rbf,__pooled__,16,1.1441015895668163,1862,0.20917505672226003,0.7573408274096982,0.05703167659101182,True
ipb98y2_analytic,__pooled__,17,1.1294592332437212,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,__pooled__,17,1.1294592332437212,100,0.4782029879765733,-1.0208781529655213,0.06662185225844898,True
ridge_loglinear,__pooled__,17,1.1294592332437212,100,0.2853670935561867,0.28034666537844655,0.056359094054382934,True
random_forest,__pooled__,17,1.1294592332437212,100,0.29120318766011555,0.2506101484711377,0.05281258298844948,True
hist_gradient_boosting,__pooled__,17,1.1294592332437212,100,0.30701737969020504,0.16700675486590866,0.048244626300737135,True
gp_rbf,__pooled__,17,1.1294592332437212,100,0.4760235052915757,-1.0024992133286954,0.1083059908160618,True
gp_linear,__pooled__,17,1.1294592332437212,100,0.2854179535388746,0.2800901199066621,0.056375324231938875,True
gp_linear_rbf,__pooled__,17,1.1294592332437212,100,0.2745773180656096,0.33373825864263507,0.05307203229109743,True
