model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,n_train_rows,well_powered
powerlaw_kadomtsev,__pooled__,13,1.998824221046443,3118,0.23625865441619917,0.797861014187251,0.05441037574745538,True,3110,True
powerlaw_collisionless,__pooled__,13,1.998824221046443,3118,0.18943307493402045,0.8700470185062223,0.04006262872879608,True,3110,True
powerlaw_electrostatic,__pooled__,13,1.998824221046443,3118,0.2377608015579573,0.7952824183730238,0.05199025320821707,True,3110,True
hybrid_gbm_s1,__pooled__,13,1.998824221046443,3118,0.1945044231212589,0.8629958906486017,0.0419539704631786,True,3110,True
ipb98y2_analytic,__pooled__,14,1.8230563002680964,2730,0.19440636965136043,0.8126329439726376,0.044716612273198446,False,3498,True
mean_baseline,__pooled__,14,1.8230563002680964,2730,1.459310027451591,-9.557653046327964,0.23302298443202116,True,3498,True
ridge_loglinear,__pooled__,14,1.8230563002680964,2730,0.27782310857361403,0.6173435967119197,0.07409390770407948,True,3498,True
random_forest,__pooled__,14,1.8230563002680964,2730,0.9377674151597658,-3.359759459795333,0.18505310223575516,True,3498,True
hist_gradient_boosting,__pooled__,14,1.8230563002680964,2730,1.0717519585509527,-4.694568534505263,0.1995699638643632,True,3498,True
powerlaw_free,__pooled__,14,1.8230563002680964,2730,0.27898983803772165,0.6141228858158789,0.0746157594183246,True,3498,True
powerlaw_kadomtsev,__pooled__,14,1.8230563002680964,2730,0.2538666245120225,0.680490725184876,0.06517592422774388,True,3498,True
powerlaw_collisionless,__pooled__,14,1.8230563002680964,2730,0.18328117409529868,0.8334640614421567,0.04414907624806591,True,3498,True
powerlaw_electrostatic,__pooled__,14,1.8230563002680964,2730,0.23745494042614076,0.7204659787700576,0.05796857855941582,True,3498,True
hybrid_gbm_s1,__pooled__,14,1.8230563002680964,2730,0.20573501653465057,0.7901598035912274,0.049167446178855,True,3498,True
ipb98y2_analytic,__pooled__,15,1.3843648208469055,2728,0.19441717348752857,0.8125049355804705,0.04473145578401007,False,3500,True
mean_baseline,__pooled__,15,1.3843648208469055,2728,1.4592590342426606,-9.56295358723613,0.2331034954158401,True,3500,True
ridge_loglinear,__pooled__,15,1.3843648208469055,2728,0.2787342722170492,0.6146092090021642,0.0744718729117509,True,3500,True
random_forest,__pooled__,15,1.3843648208469055,2728,0.9348017673012582,-3.3347059278762217,0.18462486988136698,True,3500,True
hist_gradient_boosting,__pooled__,15,1.3843648208469055,2728,0.9977453796895946,-3.9381018236997365,0.19201347290795126,True,3500,True
powerlaw_free,__pooled__,15,1.3843648208469055,2728,0.27990375557016145,0.6113684619831716,0.07499557704539805,True,3500,True
powerlaw_kadomtsev,__pooled__,15,1.3843648208469055,2728,0.25438753556692506,0.678994668041737,0.0653875069099721,True,3500,True
powerlaw_collisionless,__pooled__,15,1.3843648208469055,2728,0.18351719448642378,0.8329393707711542,0.04424519914243725,True,3500,True
powerlaw_electrostatic,__pooled__,15,1.3843648208469055,2728,0.23760393831174126,0.7199549762854066,0.05802718911077755,True,3500,True
hybrid_gbm_s1,__pooled__,15,1.3843648208469055,2728,0.2174098253977929,0.765534512755682,0.052479218297919863,True,3500,True
ipb98y2_analytic,__pooled__,16,1.1441015895668163,1862,0.15731252575504368,0.8627527884795952,0.04073338959793046,False,4366,True
mean_baseline,__pooled__,16,1.1441015895668163,1862,1.405404284234528,-9.95416977894983,0.26422657689614215,True,4366,True
ridge_loglinear,__pooled__,16,1.1441015895668163,1862,0.1892487418683173,0.8013708777095583,0.05361759217420759,True,4366,True
random_forest,__pooled__,16,1.1441015895668163,1862,0.4817173722359798,-0.286949598719211,0.1256002571805493,True,4366,True
hist_gradient_boosting,__pooled__,16,1.1441015895668163,1862,0.4851960071948543,-0.3056036578215289,0.1290866774392868,True,4366,True
powerlaw_free,__pooled__,16,1.1441015895668163,1862,0.18883175801037852,0.8022452179026083,0.053506853221576084,True,4366,True
powerlaw_kadomtsev,__pooled__,16,1.1441015895668163,1862,0.17704497360093824,0.8261622371161498,0.050623863227105985,True,4366,True
powerlaw_collisionless,__pooled__,16,1.1441015895668163,1862,0.17485316349202587,0.830439804059661,0.049756175689467025,True,4366,True
powerlaw_electrostatic,__pooled__,16,1.1441015895668163,1862,0.26931790903926317,0.5977394995774075,0.07715030566036363,True,4366,True
