solver,condition_number,trial,relative_forward_error,failed
qr,100000000000.0,3,2.882435357053987e-07,False
svd,100000000000.0,3,4.1076591989146066e-07,False
cholesky,100000000000.0,4,,True
qr,100000000000.0,4,5.926753725478211e-07,False
svd,100000000000.0,4,4.5206296088036695e-07,False
cholesky,100000000000.0,5,,True
qr,100000000000.0,5,1.1235552510228487e-07,False
svd,100000000000.0,5,1.1416863431343699e-07,False
cholesky,100000000000.0,6,,True
qr,100000000000.0,6,1.8623372377198374e-07,False
svd,100000000000.0,6,3.4689927333839e-07,False
cholesky,100000000000.0,7,,True
qr,100000000000.0,7,6.598420062430631e-07,False
svd,100000000000.0,7,8.253742397566915e-07,False
cholesky,100000000000.0,8,,True
qr,100000000000.0,8,3.950204718844907e-08,False
svd,100000000000.0,8,1.2886786399140004e-07,False
cholesky,100000000000.0,9,,True
qr,100000000000.0,9,7.120312871964715e-07,False
svd,100000000000.0,9,4.691591157456032e-07,False
cholesky,100000000000.0,10,,True
qr,100000000000.0,10,2.92989400663054e-07,False
svd,100000000000.0,10,4.2475013274144414e-07,False
cholesky,100000000000.0,11,,True
qr,100000000000.0,11,1.0263099342699209e-06,False
svd,100000000000.0,11,6.24043237124514e-07,False
cholesky,1000000000000.0,0,,True
qr,1000000000000.0,0,2.4353640976392025e-06,False
svd,1000000000000.0,0,1.4733445678223154e-06,False
cholesky,1000000000000.0,1,,True
qr,1000000000000.0,1,1.1537905191692052e-05,False
svd,1000000000000.0,1,2.993211058081231e-06,False
cholesky,1000000000000.0,2,,True
qr,1000000000000.0,2,4.767196317991933e-06,False
svd,1000000000000.0,2,3.65693264457255e-06,False
cholesky,1000000000000.0,3,,True
qr,1000000000000.0,3,1.8217717458943578e-07,False
svd,1000000000000.0,3,7.2640858869109715e-06,False
cholesky,1000000000000.0,4,,True
qr,1000000000000.0,4,1.930371084856738e-05,False
svd,1000000000000.0,4,2.052817302055423e-05,False
cholesky,1000000000000.0,5,,True
qr,1000000000000.0,5,3.5231451125097215e-06,False
svd,1000000000000.0,5,5.966185309944194e-06,False
cholesky,1000000000000.0,6,,True
qr,1000000000000.0,6,1.2924199738558372e-05,False
svd,1000000000000.0,6,1.1810543123993468e-05,False
cholesky,1000000000000.0,7,,True
qr,1000000000000.0,7,2.426077230876829e-06,False
svd,1000000000000.0,7,1.0836776514465941e-06,False
cholesky,1000000000000.0,8,,True
qr,1000000000000.0,8,9.971541443247677e-07,False
svd,1000000000000.0,8,1.4622924366250468e-06,False
cholesky,1000000000000.0,9,,True
qr,1000000000000.0,9,3.469502013942862e-07,False
svd,1000000000000.0,9,1.1884610806419868e-06,False
cholesky,1000000000000.0,10,,True
qr,1000000000000.0,10,4.882365711260792e-06,False
svd,1000000000000.0,10,4.783804777770465e-06,False
cholesky,1000000000000.0,11,,True
qr,1000000000000.0,11,2.550121352470223e-06,False
svd,1000000000000.0,11,3.2418054303295865e-06,False
