degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
2,0.001,AUGW,767,0.1826784516148747,1.6457652294950753
2,0.001,ASDEX,431,0.38689501942921056,5.187342932450245
2,0.001,D3D,388,0.20280399125075851,1.1410663145491857
2,0.001,NSTX,185,0.23182218899047485,7.8308993076380045
2,0.001,JT60U,100,0.25535678494721686,2.483394451114324
2,0.001,PDX,97,0.3415192404107765,4.045943810544166
2,0.001,JFT2M,69,0.12387602033527476,5.434784443628557
2,0.001,PBXM,59,0.2760404520725531,10.18020691511417
2,0.001,CMOD,45,1.0694716826055506,6.937744525296737
2,0.001,MAST,39,0.1677920576595302,5.375921749336576
2,0.01,JET,1762,0.2899528297574452,2.189768389167002
2,0.01,AUG,1377,0.19934074055449055,1.2399939601552896
2,0.01,JETILW,866,0.1916511418184504,1.7024302608804454
2,0.01,AUGW,767,0.1828202726900208,1.6457652294950753
2,0.01,ASDEX,431,0.3873781597536293,5.187342932450245
2,0.01,D3D,388,0.20268868203685578,1.1410663145491857
2,0.01,NSTX,185,0.2320750758645974,7.8308993076380045
2,0.01,JT60U,100,0.25526732189116835,2.483394451114324
2,0.01,PDX,97,0.3412989941970349,4.045943810544166
2,0.01,JFT2M,69,0.12386437967141684,5.434784443628557
2,0.01,PBXM,59,0.27541088364690774,10.18020691511417
2,0.01,CMOD,45,1.0697086707569818,6.937744525296737
2,0.01,MAST,39,0.16754784946559714,5.375921749336576
2,0.1,JET,1762,0.28891125864130673,2.189768389167002
2,0.1,AUG,1377,0.1995135753854089,1.2399939601552896
2,0.1,JETILW,866,0.1917793376285411,1.7024302608804454
2,0.1,AUGW,767,0.18412172766898774,1.6457652294950753
2,0.1,ASDEX,431,0.3916735315386335,5.187342932450245
2,0.1,D3D,388,0.20167088666014998,1.1410663145491857
2,0.1,NSTX,185,0.23456668297248315,7.8308993076380045
2,0.1,JT60U,100,0.25445036307952396,2.483394451114324
2,0.1,PDX,97,0.33937220484654607,4.045943810544166
2,0.1,JFT2M,69,0.12375248135848543,5.434784443628557
2,0.1,PBXM,59,0.2695836705376366,10.18020691511417
2,0.1,CMOD,45,1.071879464724129,6.937744525296737
2,0.1,MAST,39,0.16525980307026192,5.375921749336576
2,1.0,JET,1762,0.28085664764617563,2.189768389167002
2,1.0,AUG,1377,0.20089450647973633,1.2399939601552896
2,1.0,JETILW,866,0.1922067955521859,1.7024302608804454
2,1.0,AUGW,767,0.1910214405829701,1.6457652294950753
2,1.0,ASDEX,431,0.4053897620089405,5.187342932450245
2,1.0,D3D,388,0.1976170144134344,1.1410663145491857
2,1.0,NSTX,185,0.25073807032747275,7.8308993076380045
2,1.0,JT60U,100,0.25035141948825484,2.483394451114324
2,1.0,PDX,97,0.3316730481922763,4.045943810544166
2,1.0,JFT2M,69,0.12322318070560927,5.434784443628557
2,1.0,PBXM,59,0.2378353438856103,10.18020691511417
2,1.0,CMOD,45,1.0830090244291675,6.937744525296737
2,1.0,MAST,39,0.15135644462181652,5.375921749336576
2,10.0,JET,1762,0.25861739912396475,2.189768389167002
2,10.0,AUG,1377,0.20224070116331266,1.2399939601552896
2,10.0,JETILW,866,0.18862610047345307,1.7024302608804454
2,10.0,AUGW,767,0.19863261137081004,1.6457652294950753
2,10.0,ASDEX,431,0.33879575722906624,5.187342932450245
2,10.0,D3D,388,0.1989811189026043,1.1410663145491857
2,10.0,NSTX,185,0.251765336454933,7.8308993076380045
2,10.0,JT60U,100,0.25160528243324864,2.483394451114324
2,10.0,PDX,97,0.32846702150146917,4.045943810544166
2,10.0,JFT2M,69,0.12571000304369015,5.434784443628557
2,10.0,PBXM,59,0.2279071360382546,10.18020691511417
2,10.0,CMOD,45,1.0739802585972364,6.937744525296737
2,10.0,MAST,39,0.1269378734421288,5.375921749336576
2,100.0,JET,1762,0.2593242353394592,2.189768389167002
2,100.0,AUG,1377,0.19876831643670986,1.2399939601552896
2,100.0,JETILW,866,0.18209656429965532,1.7024302608804454
2,100.0,AUGW,767,0.20069590885953428,1.6457652294950753
2,100.0,ASDEX,431,0.2477913613640927,5.187342932450245
2,100.0,D3D,388,0.20865984876630167,1.1410663145491857
2,100.0,NSTX,185,0.2235779419894985,7.8308993076380045
2,100.0,JT60U,100,0.26350834280938995,2.483394451114324
2,100.0,PDX,97,0.32659383338328496,4.045943810544166
2,100.0,JFT2M,69,0.1069667476162761,5.434784443628557
2,100.0,PBXM,59,0.31239767334742224,10.18020691511417
2,100.0,CMOD,45,0.9045175568780423,6.937744525296737
2,100.0,MAST,39,0.12054832892616738,5.375921749336576
2,1000.0,JET,1762,0.33855535826121136,2.189768389167002
2,1000.0,AUG,1377,0.20670337679876644,1.2399939601552896
2,1000.0,JETILW,866,0.20763982587981372,1.7024302608804454
2,1000.0,AUGW,767,0.22285979128959954,1.6457652294950753
2,1000.0,ASDEX,431,0.20342016860223305,5.187342932450245
2,1000.0,D3D,388,0.22050901505274006,1.1410663145491857
2,1000.0,NSTX,185,0.2557385365922107,7.8308993076380045
2,1000.0,JT60U,100,0.252951726703474,2.483394451114324
2,1000.0,PDX,97,0.323750564498126,4.045943810544166
2,1000.0,JFT2M,69,0.15612035367876545,5.434784443628557
2,1000.0,PBXM,59,0.3764627933265181,10.18020691511417
2,1000.0,CMOD,45,0.8146681514629319,6.937744525296737
2,1000.0,MAST,39,0.1641655031465965,5.375921749336576
2,10000.0,JET,1762,0.6150892030671631,2.189768389167002
2,10000.0,AUG,1377,0.28043772580424464,1.2399939601552896
2,10000.0,JETILW,866,0.3369274656123702,1.7024302608804454
2,10000.0,AUGW,767,0.35459110931380156,1.6457652294950753
2,10000.0,ASDEX,431,0.3049274196127785,5.187342932450245
2,10000.0,D3D,388,0.2988761403723945,1.1410663145491857
2,10000.0,NSTX,185,0.6812168858644768,7.8308993076380045
2,10000.0,JT60U,100,0.2551438826461704,2.483394451114324
2,10000.0,PDX,97,0.41307980238458214,4.045943810544166
2,10000.0,JFT2M,69,0.20895188840158951,5.434784443628557
2,10000.0,PBXM,59,0.27329290552285745,10.18020691511417
2,10000.0,CMOD,45,0.8330794748741677,6.937744525296737
2,10000.0,MAST,39,0.3231790701823228,5.375921749336576
2,100000.0,JET,1762,1.0224070076936311,2.189768389167002
2,100000.0,AUG,1377,0.3486231798717284,1.2399939601552896
2,100000.0,JETILW,866,0.2512063924134806,1.7024302608804454
2,100000.0,AUGW,767,0.5538563157722113,1.6457652294950753
2,100000.0,ASDEX,431,0.8331904705840618,5.187342932450245
2,100000.0,D3D,388,0.36331918286025217,1.1410663145491857
2,100000.0,NSTX,185,1.0136811855336596,7.8308993076380045
2,100000.0,JT60U,100,0.234321989401399,2.483394451114324
2,100000.0,PDX,97,0.787488410788089,4.045943810544166
2,100000.0,JFT2M,69,0.7092857107678254,5.434784443628557
2,100000.0,PBXM,59,0.306267149975976,10.18020691511417
2,100000.0,CMOD,45,0.21403601836804084,6.937744525296737
2,100000.0,MAST,39,0.7031194981071874,5.375921749336576
3,0.001,JET,1762,0.698703173731069,2.189768389167002
3,0.001,AUG,1377,0.2656010304293142,1.2399939601552896
3,0.001,JETILW,866,0.21028479374138315,1.7024302608804454
3,0.001,AUGW,767,0.1705480815652018,1.6457652294950753
3,0.001,ASDEX,431,1.0024083663011547,5.187342932450245
3,0.001,D3D,388,0.3679169847417042,1.1410663145491857
3,0.001,NSTX,185,2.8771058742808497,7.8308993076380045
3,0.001,JT60U,100,0.2680118395620681,2.483394451114324
3,0.001,PDX,97,0.6383836782219466,4.045943810544166
3,0.001,JFT2M,69,0.7324939594021396,5.434784443628557
3,0.001,PBXM,59,2.634983661893376,10.18020691511417
3,0.001,CMOD,45,4.931134498787066,6.937744525296737
3,0.001,MAST,39,0.2397841579618325,5.375921749336576
3,0.01,JET,1762,0.6302945067931005,2.189768389167002
3,0.01,AUG,1377,0.2456507009240621,1.2399939601552896
3,0.01,JETILW,866,0.21089639912629113,1.7024302608804454
3,0.01,AUGW,767,0.17344021902631732,1.6457652294950753
3,0.01,ASDEX,431,0.9927136321411985,5.187342932450245
3,0.01,D3D,388,0.3564097753612339,1.1410663145491857
3,0.01,NSTX,185,2.6841874826747354,7.8308993076380045
3,0.01,JT60U,100,0.2677979704419723,2.483394451114324
3,0.01,PDX,97,0.5501711716271214,4.045943810544166
3,0.01,JFT2M,69,0.4142638725449594,5.434784443628557
3,0.01,PBXM,59,2.6955184805510535,10.18020691511417
3,0.01,CMOD,45,4.922215184559323,6.937744525296737
3,0.01,MAST,39,0.2232960324541089,5.375921749336576
3,0.1,JET,1762,0.5091298856842017,2.189768389167002
3,0.1,AUG,1377,0.23311875644043928,1.2399939601552896
3,0.1,JETILW,866,0.2098573349309442,1.7024302608804454
3,0.1,AUGW,767,0.1794052080050885,1.6457652294950753
3,0.1,ASDEX,431,0.7752171908721899,5.187342932450245
3,0.1,D3D,388,0.3280998909174493,1.1410663145491857
3,0.1,NSTX,185,2.1061254815741113,7.8308993076380045
3,0.1,JT60U,100,0.2746765817891664,2.483394451114324
3,0.1,PDX,97,0.47785834358378104,4.045943810544166
3,0.1,JFT2M,69,0.33904265698183095,5.434784443628557
3,0.1,PBXM,59,2.9715684857978526,10.18020691511417
3,0.1,CMOD,45,4.9388105805890055,6.937744525296737
3,0.1,MAST,39,0.19002858989092533,5.375921749336576
3,1.0,JET,1762,0.3935989443648975,2.189768389167002
3,1.0,AUG,1377,0.218891863055553,1.2399939601552896
3,1.0,JETILW,866,0.20566012186025298,1.7024302608804454
3,1.0,AUGW,767,0.180646528919541,1.6457652294950753
3,1.0,ASDEX,431,0.557686738078787,5.187342932450245
3,1.0,D3D,388,0.29480888855708015,1.1410663145491857
3,1.0,NSTX,185,1.446139493437604,7.8308993076380045
3,1.0,JT60U,100,0.27007248769282777,2.483394451114324
3,1.0,PDX,97,0.3538808177204183,4.045943810544166
3,1.0,JFT2M,69,0.25172821865465295,5.434784443628557
3,1.0,PBXM,59,2.1050196402470487,10.18020691511417
3,1.0,CMOD,45,4.600707818539402,6.937744525296737
3,1.0,MAST,39,0.15935307720101036,5.375921749336576
3,10.0,JET,1762,0.3519432591519986,2.189768389167002
3,10.0,AUG,1377,0.21315148289844235,1.2399939601552896
3,10.0,JETILW,866,0.19696443695566906,1.7024302608804454
3,10.0,AUGW,767,0.1813426078659039,1.6457652294950753
3,10.0,ASDEX,431,0.5096675694345428,5.187342932450245
3,10.0,D3D,388,0.25305288006980664,1.1410663145491857
3,10.0,NSTX,185,0.862014277937972,7.8308993076380045
3,10.0,JT60U,100,0.2735418070018698,2.483394451114324
3,10.0,PDX,97,0.3308580380138114,4.045943810544166
3,10.0,JFT2M,69,0.1691785690063481,5.434784443628557
3,10.0,PBXM,59,0.6672728398727217,10.18020691511417
3,10.0,CMOD,45,3.4945103652169727,6.937744525296737
3,10.0,MAST,39,0.1467683251304369,5.375921749336576
3,100.0,JET,1762,0.3268288152616822,2.189768389167002
3,100.0,AUG,1377,0.2086162977690099,1.2399939601552896
3,100.0,JETILW,866,0.18416765452028117,1.7024302608804454
3,100.0,AUGW,767,0.18546599106444814,1.6457652294950753
