model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,arm
powerlaw_collisionless,JET,1475,0.5049351499792377,-0.08599105873938084,0.2925402644130499,True,non_h
mean_baseline,TEXTOR,1435,1.7559099884471516,-58.4182292243702,0.22607091979262547,True,non_h
ridge_loglinear,TEXTOR,1435,0.5976052309450055,-5.882464608298166,0.022196888708951847,True,non_h
random_forest,TEXTOR,1435,0.7116780906070497,-8.760732220072033,0.0468141119220827,True,non_h
hist_gradient_boosting,TEXTOR,1435,0.5610643368016458,-5.066532587951972,0.03395021487271487,True,non_h
powerlaw_collisionless,TEXTOR,1435,0.4674226338362963,-3.210509802125844,0.018625055953451607,True,non_h
mean_baseline,ASDEX,630,0.5716700426371021,-14.32590391394524,0.06615209559608375,True,non_h
ridge_loglinear,ASDEX,630,0.13638622342624734,0.1276791815653353,0.009907140921504711,True,non_h
random_forest,ASDEX,630,0.519128516090125,-11.638193514112647,0.03059809313027942,True,non_h
hist_gradient_boosting,ASDEX,630,0.5711851972197491,-14.299918493471026,0.035469553126904946,True,non_h
powerlaw_collisionless,ASDEX,630,0.14284649152593418,0.04308274492957753,0.010463398617100226,True,non_h
mean_baseline,JFT2M,265,1.2774439274430858,-32.25448553378671,0.11148487909008307,True,non_h
ridge_loglinear,JFT2M,265,0.14118629095214708,0.5937890750025784,0.005088237992895579,True,non_h
random_forest,JFT2M,265,0.5697035906166155,-5.614004018226738,0.02933535441323951,True,non_h
hist_gradient_boosting,JFT2M,265,0.5469072823669922,-5.09528411227584,0.01815915591163103,True,non_h
powerlaw_collisionless,JFT2M,265,0.1418088426694633,0.5901988559768303,0.005218576564262396,True,non_h
mean_baseline,D3D,38,0.6586450614289479,-0.25032914071853707,0.07620041079448536,True,non_h
ridge_loglinear,D3D,38,0.5692522177460618,0.06603428051760074,0.07401657012599501,True,non_h
random_forest,D3D,38,0.610486352008122,-0.07417092310993523,0.061997123629888615,True,non_h
hist_gradient_boosting,D3D,38,0.6876608390313594,-0.3629190415422192,0.0701957518962745,True,non_h
powerlaw_collisionless,D3D,38,0.45605319024479624,0.40055068290923823,0.05557928387465168,True,non_h
ITER89-P,JET,1475,0.35191862640009236,,,False,non_h
ITER89-P,TEXTOR,1435,0.4238271105403414,,,False,non_h
ITER89-P,ASDEX,630,0.37454430132773164,,,False,non_h
ITER89-P,JFT2M,265,0.3918829596723977,,,False,non_h
ITER89-P,D3D,38,0.3670339094826391,,,False,non_h
