model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
mean_baseline,leave_one_tokamak_out,NSTX,185,0.9,0.6594594594594595,1.375141475147454,3.955636307565871,1.3354350078958515,True,7.8308993076380045
mean_baseline,leave_one_tokamak_out,JT60U,100,0.9,1.0,1.3848564896529327,3.99425264709975,0.4780125598010152,True,2.483394451114324
mean_baseline,leave_one_tokamak_out,PDX,97,0.9,0.4536082474226804,1.3429900357991342,3.830479670917793,1.4361994692127376,True,4.045943810544166
mean_baseline,leave_one_tokamak_out,JFT2M,69,0.9,0.14492753623188406,1.3581954329910584,3.889168699990948,1.6210786471681409,True,5.434784443628557
mean_baseline,leave_one_tokamak_out,PBXM,59,0.9,0.9661016949152542,1.369826918925897,3.934669619687493,0.9967379092688566,True,10.18020691511417
mean_baseline,leave_one_tokamak_out,CMOD,45,0.9,1.0,1.3947044859331834,4.033782357053656,0.7381919599421565,True,6.937744525296737
mean_baseline,leave_one_tokamak_out,MAST,39,0.9,0.7692307692307693,1.3669320578392976,3.9232957685193584,1.2454613598292463,True,5.375921749336576
ridge_loglinear,leave_one_tokamak_out,JET,1762,0.9,0.9148694665153235,0.3161369117110504,1.3718180607273345,0.1960476148544634,True,2.189768389167002
ridge_loglinear,leave_one_tokamak_out,AUG,1377,0.9,0.7748729121278141,0.2752536571985571,1.316864664708096,0.21596717881964975,True,1.2399939601552896
ridge_loglinear,leave_one_tokamak_out,JETILW,866,0.9,0.766743648960739,0.2770938255364219,1.3192901483339958,0.2150425739316196,True,1.7024302608804454
ridge_loglinear,leave_one_tokamak_out,AUGW,767,0.9,0.8617992177314211,0.28275934450085893,1.3267858250886384,0.21243270444421197,True,1.6457652294950753
ridge_loglinear,leave_one_tokamak_out,ASDEX,431,0.9,0.8932714617169374,0.2983614370258558,1.3476487900345153,0.19136314780709432,True,5.187342932450245
ridge_loglinear,leave_one_tokamak_out,D3D,388,0.9,0.7010309278350515,0.2842966964292486,1.3288271305357875,0.2515375615068482,True,1.1410663145491857
ridge_loglinear,leave_one_tokamak_out,NSTX,185,0.9,0.7675675675675676,0.2834562769247846,1.327710827444374,0.2962429233583868,True,7.8308993076380045
ridge_loglinear,leave_one_tokamak_out,JT60U,100,0.9,0.64,0.2875151659009134,1.3331108098363413,0.282046016756296,True,2.483394451114324
ridge_loglinear,leave_one_tokamak_out,PDX,97,0.9,0.7938144329896907,0.2903291700545827,1.3368674723455098,0.2424569791160552,True,4.045943810544166
ridge_loglinear,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.29557919653436726,1.3439045181503235,0.09354207180565115,True,5.434784443628557
ridge_loglinear,leave_one_tokamak_out,PBXM,59,0.9,0.7457627118644068,0.2884314634993812,1.3343328958816345,0.27034939002906705,True,10.18020691511417
ridge_loglinear,leave_one_tokamak_out,CMOD,45,0.9,0.9555555555555556,0.2922405985228327,1.33942524260913,0.17669713116907315,True,6.937744525296737
ridge_loglinear,leave_one_tokamak_out,MAST,39,0.9,0.8974358974358975,0.29487463346631326,1.3429579861447465,0.17024178446597416,True,5.375921749336576
random_forest,leave_one_tokamak_out,JET,1762,0.9,0.2474460839954597,0.2076017590697461,1.230722947690569,0.4876089288834118,True,2.189768389167002
random_forest,leave_one_tokamak_out,AUG,1377,0.9,0.523602033405955,0.19781322537839774,1.2187347438420706,0.27686269136491926,True,1.2399939601552896
random_forest,leave_one_tokamak_out,JETILW,866,0.9,0.36027713625866054,0.21809443770980197,1.2437045146792958,0.3284748168619753,True,1.7024302608804454
random_forest,leave_one_tokamak_out,AUGW,767,0.9,0.5528031290743155,0.21853297314736597,1.2442500427908028,0.2402360879012927,True,1.6457652294950753
random_forest,leave_one_tokamak_out,ASDEX,431,0.9,0.10208816705336426,0.2021129024822339,1.2239861913898216,0.49276322352283336,True,5.187342932450245
random_forest,leave_one_tokamak_out,D3D,388,0.9,0.3479381443298969,0.2131231095542434,1.2375369944937054,0.4397610023963948,True,1.1410663145491857
random_forest,leave_one_tokamak_out,NSTX,185,0.9,0.10270270270270271,0.2086469914801392,1.2320100117270547,0.8131887861344855,True,7.8308993076380045
random_forest,leave_one_tokamak_out,JT60U,100,0.9,0.42,0.19036828519615945,1.20969502840027,0.27966895812568054,True,2.483394451114324
random_forest,leave_one_tokamak_out,PDX,97,0.9,0.35051546391752575,0.20530520683926023,1.2278997711869102,0.3888534057582532,True,4.045943810544166
random_forest,leave_one_tokamak_out,JFT2M,69,0.9,0.14492753623188406,0.19388276550540595,1.2139539573350113,0.29914872505598045,True,5.434784443628557
random_forest,leave_one_tokamak_out,PBXM,59,0.9,0.1016949152542373,0.2009643209560008,1.2225811505184865,0.751873981722653,True,10.18020691511417
random_forest,leave_one_tokamak_out,CMOD,45,0.9,0.13333333333333333,0.21398593648218878,1.2386052355241737,0.4287306553248833,True,6.937744525296737
random_forest,leave_one_tokamak_out,MAST,39,0.9,0.05128205128205128,0.20907720170998245,1.2325401490644454,0.5896697223969967,True,5.375921749336576
hist_gradient_boosting,leave_one_tokamak_out,JET,1762,0.9,0.21679909194097616,0.19629324483819444,1.2168836978810598,0.47447824291134266,True,2.189768389167002
hist_gradient_boosting,leave_one_tokamak_out,AUG,1377,0.9,0.5381263616557734,0.20905395496017753,1.2325114968450124,0.2894215525257346,True,1.2399939601552896
hist_gradient_boosting,leave_one_tokamak_out,JETILW,866,0.9,0.5438799076212472,0.22032914504344964,1.2464869380721884,0.26040249995200876,True,1.7024302608804454
hist_gradient_boosting,leave_one_tokamak_out,AUGW,767,0.9,0.6414602346805737,0.21966103259045555,1.245654422764258,0.21379127157911515,True,1.6457652294950753
hist_gradient_boosting,leave_one_tokamak_out,ASDEX,431,0.9,0.6194895591647331,0.20194865635124448,1.2237851729022078,0.2587783923300781,True,5.187342932450245
hist_gradient_boosting,leave_one_tokamak_out,D3D,388,0.9,0.5360824742268041,0.21517799039716823,1.2400826001184748,0.25791985672531886,True,1.1410663145491857
hist_gradient_boosting,leave_one_tokamak_out,NSTX,185,0.9,0.21081081081081082,0.21200696848858092,1.2361564991909386,0.6745768552556977,True,7.8308993076380045
hist_gradient_boosting,leave_one_tokamak_out,JT60U,100,0.9,0.53,0.1990317948806255,1.220220762056576,0.25596274298952126,True,2.483394451114324
