model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,method,arm
powerlaw_collisionless,leave_one_tokamak_out,JET,1762,0.9,0.9551645856980704,0.3178741153400524,1.374203259228654,0.1761069121848174,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,AUG,1377,0.9,0.7879448075526507,0.2787605087439642,1.3214908204723244,0.21355236567437058,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,JETILW,866,0.9,0.8337182448036952,0.2834133905481919,1.327653887958795,0.1988035958514153,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,AUGW,767,0.9,0.8670143415906127,0.2862241712532999,1.3313908813642716,0.2115495843165968,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,ASDEX,431,0.9,0.8909512761020881,0.295507068358269,1.343807588264309,0.190079151851282,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,D3D,388,0.9,0.6829896907216495,0.2840283623894093,1.3284706088191984,0.25761480529548564,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,NSTX,185,0.9,0.7837837837837838,0.28702582191742065,1.3324586196679005,0.28695995794922846,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,JT60U,100,0.9,0.73,0.29053638737656984,1.3371445231468522,0.2658435898764513,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,PDX,97,0.9,0.7938144329896907,0.2912070695900142,1.3380416229961603,0.2418549421004187,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.29143837753658575,1.3383511584540282,0.09964341992851149,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,PBXM,59,0.9,0.6949152542372882,0.28931722811426774,1.3355153243446225,0.27147124865176514,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.2892295186627061,1.3353981921648468,0.11264435380920523,True,split,lomo
powerlaw_collisionless,leave_one_tokamak_out,MAST,39,0.9,0.8974358974358975,0.29923063182576204,1.3488206685765012,0.17258905049023418,True,split,lomo
ipb98y2_analytic,leave_one_tokamak_out,JET,1762,0.9,0.9750283768444948,0.3551529692166975,1.4263988327059005,0.14786640407873294,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUG,1377,0.9,0.9172113289760349,0.3339660811374059,1.3964957752228566,0.1973676563878414,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,JETILW,866,0.9,0.7055427251732102,0.3024653540724884,1.3531907930588924,0.256629652478898,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,AUGW,767,0.9,0.9113428943937418,0.3320883218725046,1.393875952810227,0.21832511500257962,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,ASDEX,431,0.9,0.9814385150812065,0.33502112825709185,1.3979699215783499,0.13144904229087115,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,D3D,388,0.9,0.7551546391752577,0.32099998967702636,1.3785055666634771,0.25193607071646484,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,NSTX,185,0.9,0.8702702702702703,0.3296731327812483,1.3905135408791942,0.22222938608255652,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,JT60U,100,0.9,0.69,0.32740278644206033,1.3873601745234436,0.2748479842757165,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,PDX,97,0.9,0.8350515463917526,0.3296731327812483,1.3905135408791942,0.2270798419649088,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.3317373409715616,1.393386814816575,0.0945692941473851,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,PBXM,59,0.9,0.9830508474576272,0.3310029763255735,1.3923639364304188,0.17167843282810225,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.3306993626268746,1.3919412598341934,0.1193554844659295,False,machine_cv,lomo
ipb98y2_analytic,leave_one_tokamak_out,MAST,39,0.9,1.0,0.3309018185327126,1.39222309509147,0.1364310264879828,False,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,JET,1762,0.9,0.9591373439273553,0.36831769383976276,1.445301129310316,0.1979097980970751,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,AUG,1377,0.9,0.896877269426289,0.3498972769166306,1.4189217850859228,0.21552600328195384,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,JETILW,866,0.9,0.8845265588914549,0.32713470053372884,1.3869882926612442,0.21586955727909324,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,AUGW,767,0.9,0.924380704041721,0.3444460145616164,1.4112079144427723,0.2074398929329735,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,ASDEX,431,0.9,0.9419953596287703,0.342270584602657,1.4081412673147984,0.1935999461699966,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,D3D,388,0.9,0.7835051546391752,0.3457005457311544,1.4129794297363745,0.2512433460586729,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,NSTX,185,0.9,0.8108108108108109,0.34148231210024127,1.4070317056501866,0.28907712742060465,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,JT60U,100,0.9,0.75,0.33419519941272835,1.3968157745838217,0.2853670935561867,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,PDX,97,0.9,0.8762886597938144,0.33736998153483655,1.4012574072100865,0.23277730351044704,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.34158047356442856,1.4071698287216416,0.09362793859749098,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,PBXM,59,0.9,0.847457627118644,0.3436198078588275,1.4100424465298291,0.27410976868517906,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,CMOD,45,0.9,0.9777777777777777,0.3420746585733503,1.407865402812991,0.17281698025423575,True,machine_cv,lomo
ridge_loglinear,leave_one_tokamak_out,MAST,39,0.9,0.9487179487179487,0.3422349462861568,1.408091084424859,0.15362321385492766,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,JET,1762,0.9,0.7843359818388195,0.5609576183934832,1.7523497794518585,0.47798512070328486,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,AUG,1377,0.9,0.9912854030501089,0.7763163085942466,2.1734511775385195,0.27930960871770744,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,JETILW,866,0.9,1.0,0.9084962964740823,2.4805896561055873,0.31834579995994233,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,AUGW,767,0.9,1.0,0.7390519682115039,2.093949442578392,0.21949249274400942,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,ASDEX,431,0.9,0.777262180974478,0.5972725286500962,1.8171557948706958,0.5067383872546776,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,D3D,388,0.9,0.9304123711340206,0.7075650964675739,2.0290447107734986,0.4059948133516858,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,NSTX,185,0.9,0.2702702702702703,0.5884482917771892,1.8011913224371385,0.857376361499742,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,JT60U,100,0.9,1.0,0.6552194451586563,1.9255650269386677,0.29120318766011555,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,PDX,97,0.9,0.8762886597938144,0.6458895175799175,1.907683192513226,0.40722559027110555,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.6531265825568777,1.9215392980246553,0.4502539255431945,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,PBXM,59,0.9,0.288135593220339,0.6513260843299862,1.9180826826743669,0.7273766020265496,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,CMOD,45,0.9,0.8444444444444444,0.651027830005658,1.9175106915234976,0.5214357323031032,True,machine_cv,lomo
random_forest,leave_one_tokamak_out,MAST,39,0.9,0.6923076923076923,0.6620975199915167,1.9388548591268326,0.5808719215353065,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,JET,1762,0.9,0.7832009080590239,0.5543496140875126,1.7408084192394513,0.4867978709251852,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,AUG,1377,0.9,0.9665940450254176,0.6301569422044095,1.8779052787324628,0.2812302860575839,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,JETILW,866,0.9,1.0,0.9629993846801476,2.6195417153824536,0.2439381925302502,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,AUGW,767,0.9,1.0,0.6045349502770139,1.8304007835462173,0.21219271101172096,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,ASDEX,431,0.9,0.988399071925754,0.5553805346668467,1.7426039798446866,0.20697949141905117,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,D3D,388,0.9,0.9922680412371134,0.6072599261993231,1.8353953836013888,0.24573867969801805,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,NSTX,185,0.9,0.5405405405405406,0.5388890752491342,1.7141015662051848,0.6857023422989421,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,JT60U,100,0.9,0.98,0.5647443129765453,1.7589979722631262,0.30701737969020504,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,PDX,97,0.9,0.8969072164948454,0.5613835841821672,1.753096379509465,0.3227021134914512,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,JFT2M,69,0.9,0.927536231884058,0.5431588303467167,1.7214360070957249,0.23418446081860614,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,PBXM,59,0.9,0.4406779661016949,0.5453053860086775,1.7251351340740666,0.5587897073538394,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,CMOD,45,0.9,0.4888888888888889,0.5550951584182089,1.7421067530097962,0.568711558029444,True,machine_cv,lomo
hist_gradient_boosting,leave_one_tokamak_out,MAST,39,0.9,0.9230769230769231,0.5441331480434994,1.7231140500020206,0.3168100380019187,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,JET,1762,0.9,0.9801362088535754,0.36143702978810166,1.4353906322861512,0.17756789401081774,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,AUG,1377,0.9,0.879448075526507,0.3363152044682729,1.3997801722463483,0.2130865390176615,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,JETILW,866,0.9,0.9018475750577367,0.3199154633476615,1.3770113514855633,0.19962459478321454,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,AUGW,767,0.9,0.9126466753585397,0.32590575457002147,1.385284805958222,0.20837592370210276,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,ASDEX,431,0.9,0.9466357308584686,0.33163163908489324,1.3932395389851937,0.19180343736003597,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,D3D,388,0.9,0.7551546391752577,0.32855880989489794,1.3889649228073375,0.25670027397068007,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,NSTX,185,0.9,0.8108108108108109,0.32953593350948385,1.3903227765206718,0.2791814830913803,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,JT60U,100,0.9,0.76,0.32253398935168587,1.380621816502549,0.2684184827145399,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,PDX,97,0.9,0.8556701030927835,0.32293550530435944,1.3811762694898948,0.23116730498771174,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,JFT2M,69,0.9,1.0,0.3279536604590172,1.388124645740082,0.09993032255390033,True,machine_cv,lomo
powerlaw_collisionless,leave_one_tokamak_out,PBXM,59,0.9,0.7966101694915254,0.3315763197764481,1.3931624680691732,0.2742531137465971,True,machine_cv,lomo
